ep,part,title,status,prose_chars,hook,laugh,martial,dragon,foreshadow_planted,foreshadow_paid
149,3,없는 산,done,3569,천 노인 「나는 이 평상에 요를 깔고 잤네」,백 영감이 제 고향 자리를 짚고 「팔십팔 년을 안 불렀더니 없어졌네」,천 노인이 걷는데 흙이 안 밀리고 소리가 안 난다,-,둘째 그림자 — 지도에서 이 산이 지워졌다 / 이백 년 전 판에는 상촌과 하촌이 둘 다 있다 / 서문경의 보고 마흔두 번이 안 올라간다 / 총단 문서방의 늙은 서리,144화 하촌의 금기 / 125~129화 상촌 화재
150,3,한 번도 안 넘어본 문턱,done,3668,솥이 둘 걸리고 숟가락이 둘 놓인다,농노 열둘의 내기 판 / 13호가 제 번호를 내주겠다고 한다,두 노인이 앉는 방식이 같다 — 허리부터 접힌다 / 천 노인의 자갈만 한 치 꺼진다,문턱 앞에 앉아 꼬리를 안 움직인다,천 노인이 이백사십 년 만에 문턱을 넘는다 / 「아우」와 「맏이」 / 1호가 숟가락의 금을 알아본다 / 천 노인이 돌아올 때 결계에 막힌다,111·121화 결계는 빚이 없는 자만 통과시킨다 / 148화 임 노파의 숟가락
151,3,자리가 둘이 됐다,done,3552,천 노인의 팔을 당기는데 발만 안 따라온다,백 영감이 시험 삼아 넘었다 오고 「이거 왜 이리 서운한가」 / 10호의 웃음이 그날 마당의 첫 소리,결계는 막는 게 아니라 발이 안 가게 한다(유백의 증언),-,임 노파와 백 영감은 빚이 없다 / 구 노인은 시험을 안 해본다 / 표일도는 검을 겨누고 있던 날에도 넘었다 / 천 노인의 빚은 1호가 안 온 날부터,111·121화 결계 규칙 / 148화 열 걸음 자리
152,3,팔십팔 년 전의 맨발,done,3540,빈 평상과 마른 풀 붙은 등,유백의 첫 밥과 13호의 「한 줌이 어찌 저희 것보다 큽니까」 / 화척이가 처음으로 밥을 물린다,한 방향만 보고 걸어도 세 번 다 산 밑으로 되돌아와 있다 — 길이 사람을 돌려세운다,국 냄새를 맡고 그대로 돌아선다,셋째 그림자 — 백 영감이 팔십팔 년 전 세 번 길을 잃고 네 번째에 맨발을 따라 반 각 만에 닿았다 / 그날 밤 천 노인도 문턱에서 발을 들었다 내렸다 / 「자네는 빚이 없어 좋겠네」,59화 「팔십팔 년 전에 아직이라고 했네」 / 150화 천 노인이 발을 내린 것
153,3,앉아 있는 건 갚는 게 아니다,done,3574,세 그림자를 숯으로 적어놓고 한 줄을 더 쓴다,11호의 「그 이랑에는 풀이 안 납니다」 / 화척이가 구덩이를 메우려다 더 키운다,구 노인이 흙바닥에 「무섭다」 세 자를 쓰고 제일 잘 갈린 호미를 내준다,이마를 등에 대는데 사람이 앞으로 밀린다 — 두 해 만의 위로,빚은 갚을 상대가 있어야 갚는다 / 상촌은 사람이 없다 / 1호 「상을 나르는 것이 제일 큰 일일세」 / 임 노파 「앉아 있는 건 갚는 게 아니다」,139화 상촌 문패 / 111~121화 유백의 열 끼
154,3,그 자리에서 보이는 것,done,3642,임 노파가 평상을 닦고 「앉아라」 한다,백 영감의 「앉으면 술을 못 마시네」 / 남궁호의 「어울리십니다」,화척이가 무게를 안 싣고 앞발을 얹는다 — 할 줄 알면서 안 했다,평상을 부수지 않고 옆 땅만 한 자 꺼뜨린다,평상 자리에서는 바위 밑이 절대 안 보인다 — 둘은 서로를 안 보며 이백사십 년을 봤다 / 앉아 있는 일은 누가 지쳤는지 보는 일이다,7·35·59화 대문을 보고 앉은 천 노인
155,3,이름 없는 제사,done,3612,마당에서 9호가 없어졌다,아이들이 화척이 비늘을 만지고 어른들은 도망가면서 물지게를 지운다 / 「밥 한 끼가 엿새입니까」,대장간 망치 소리에 사람을 죽일 것이 없다,고양이만 하게 줄여 하촌 담장 밑에 엎드린다,하촌 옛집 열일곱 채의 대들보가 상촌에서 내려온 탄 나무다 / 하촌이 이백 년째 이름 없는 제사를 지낸다 / 그 제사가 모레다,144화 위를 안 보는 마을 / 149화 지도의 두 마을
156,3,나는 못 가네,done,3688,곽진강이 바위 밑으로 먼저 가서 제사 소식을 전한다,표일도 「나는 검을 안 가져가겠소 / 개울 바닥에 있소」 / 13호가 제일 늦게 손을 든다,1호가 이백 년 동안 느티나무 뒤에 서고도 한 번도 안 들킨다,-,1호가 이백 년 동안 느티나무 뒤에서 제사를 봤다 / 「가면 저 사람들이 기억하네」 / 유백 「맨 뒤에 섭니다」 / 임 노파가 남는다,144화 하촌의 금기 / 155화 이름 없는 제사
157,3,몇 그릇을 짓느냐,done,3506,임 노파의 손이 처음으로 빈 채로 멈춘다,13호가 사발을 열 걸음에 반을 흘리고 백 영감은 「나는 마셨네」,구 노인이 글자 없는 위패를 깎아 내미는데 나무가 아직 따뜻하다,-,상촌은 어른 스물하나·아이 아홉·젖먹이 셋 = 서른셋 / 천 노인 「이름을 말하면 누가 태웠느냐를 묻게 되네」 / 구 노인이 글자 없는 위패를 깎는다 / 임 노파의 백구십 년 고사리 항아리 / 서른네 번째 그릇,139화 상촌 문패 / 149화 남궁호의 마흔두 번 보고
158,3,뒤에 서는 사람들,done,3695,지게 셋을 화척이가 지는데 자국이 하나도 안 남는다,떡 아낙의 「위가 좋은가 보지」 / 아이에게 「저놈이 우리 주인이다」,화척이가 온종일 무게를 안 싣는다 — 할 줄 알면서 안 하던 것을 오늘 한다,압축형으로 지게 셋을 지고 마을 어귀에 엎드린다,천 노인이 이백 년 만에 하촌 상 앞에 세 번 절하고 흙 묻은 옷을 안 턴다 / 백 영감이 술을 네 번째로 딴다 / 느티나무 뒤 다져진 땅 / 아흔둘 「우리가 이백 년 기다린 게 당신이오」,155화 제사 / 156화 1호의 이백 번
159,3,떡 하나,done,3567,천 노인의 「아니오」,마을이 밥을 먹이려 하고 은자림 열다섯이 필사적으로 거절한다 / 화척이가 알아듣고 삼킨다,문턱이 13호의 발을 안 받는다 — 두 해 동안 수천 번 넘은 한 자,번호가 없으면 빚도 없다,천 노인 「그 어른 옆에 살던 사람이오」 / 곽진강이 할 말을 삼킨다(271~295 예고) / 13호가 떡 하나로 문턱에 막힌다 / 임 노파가 미리 알고 문턱 밖에 상을 차린다,111·121화 결계 / 151화 빚의 셈법
160,3,올려다본 사람,done,3608,문턱 밖에 상이 셋 — 가운데가 13호,13호가 어른 둘 사이에 끼어 자갈밭에서 밥을 먹는다 / 「개보다 무겁고 소보다 순하다」,아흔둘이 세 번 쉬고 반나절 길을 혼자 올라온다,아이가 들어보려다 주저앉았다는 무게,아흔둘 노인이 팔십 년 만에 위를 보고 산을 올라온다 / 대들보 그을음 밑의 탁본 / 이름이 서른셋 / 임 노파가 처음으로 존대를 쓴다 / 유백 「믿기는 데 그만큼 걸립니다」,155화 대들보 열일곱 채 / 157화 서른셋
161,3,서른셋과 서른둘,done,3623,탁본 여덟 장이 멍석에 펼쳐진다,표일도 「대제자는 아버지 서찰 먹을 가오 / 여기 와서 삽질한 게 훨씬 쉬웠소」,구 노인이 밤새 위패 서른둘을 더 깎아 손바닥에 자귀 자국이 난다,이백 년 된 그을음 냄새를 맡는다 — 그날 밤 어디 있었는지 아무도 못 묻는다,마당이 밤새 이름 서른셋을 쓴다 / 임 노파가 위패 하나 앞에서 손을 뻗었다 거둔다 / 천 노인 「서른둘일세 / 이 사람은 이백 년을 더 살았네」,160화 탁본 / 157화 서른셋
162,3,목수가 남긴 것,done,3593,「이백 년을 더 살았다니요」,13호의 「제가 먼저 뻗고 저 어른이 나중에 뻗었습니다」 / 백 영감 「백구십구 년 사셨습니다 / 그러니까 오래 못 사네」,화척이가 온종일 자국을 안 남기고 위패 서른둘을 져 나른다,압축형으로 지게를 지며 앞발 자국을 안 남긴다,대들보 맨 끝 이름은 지은 사람의 것 — 9호다 / 마당이 이백 년 만에 그 이름을 안다 / 무덤이 넷이다 / 천 노인 「자네가 이 사람 자리에 앉아 있네」,128화 9호의 죽음과 「나오셨어도 똑같았습니다」 / 139화 상촌 문패
163,3,문턱 밖 살림,done,3756,13호가 문턱 밖에서 첫 밤을 난다,스무여드레짜리 움막에 기둥을 석 자 묻는다 / 백 영감이 13호의 말수를 센다 「아침에 마흔한 마디」 / 화척이가 이불을 깔고 눕는다,1호가 큰 돌을 안 빼고 그 옆을 파게 가르친다 — 힘을 안 쓰고 평평해지는 자리,개만 한 것이 움막 기둥을 석 자 더 박는다,1호는 눈 오는 날 제일 바쁘다 / 유백이 밤마다 9호 무덤에 간다 / 1호가 13호의 이름을 묻는다 / 「생각이 안 났습니다」,148화 자국 지우기 / 162화 9호 자리의 무게
164,3,안 부르면 없어진다,done,3619,「생각이 안 났습니다」 뒤의 문턱 앞 마주 앉기,10호 「하루에 스무 번씩 썼습니다」 / 표일도 「두 자가 훨씬 가볍소」,구 노인이 한 획을 긋다 멈추고 손바닥으로 지운다,-,이름은 안 부르면 없어진다 / 마등우는 백십이 년 동안 매일 제 이름을 한 번 부른다 / 순서는 이름·번호·호칭 셋이다 / 곽진강은 아직 이름이 있다 — 「아직 다 안 들어온 겁니까」,149화 「팔십팔 년을 안 불렀더니 없어졌네」 / 121화 「아직 다 안 들어왔다」
165,3,명부에 없는 사람,done,3749,서문경이 마흔세 번째 보고를 받는다 — 남궁호의 거짓 획이 짧다,-,-,-,총단 문서방의 늙은 서리가 필사에서 산 이름을 뺀다 / 「저는 읽지 않습니다 옮길 뿐입니다」 / 같은 글씨가 아흔일곱 해·백육십 해·이백 해 전 책에 있다 / 명부에 그 사람 이름이 없다,149화 둘째 그림자(지워진 지도) / 158화 위패 서른둘
166,3,짚신 한 켤레,done,3521,움막에 담을 쌓는다 — 스무여드레짜리에 보름을 쓴다,선배가 되니 상이 하나 늘고 담이 하나 늘었다 / 「떡 하나가 크더라」,13호의 손이 짚 앞에서만 안 흔들린다,압축형이 자꾸 더 작아진다 — 아이가 알아본다,13호가 열하루에 넘는다 — 갚을 사람이 눈앞에 있었던 차이 / 일곱 살 아이가 1호를 정면으로 보고 인사한다 / 1호가 문턱 앞까지 걸어온다,159화 떡 하나 / 156화 「가면 저 사람들이 기억하네」
167,3,뒤에 서신 겁니다,done,3531,1호가 발을 들었다가 내린다,13호가 들어오자마자 다시 나가려 한다 / 백 영감의 「기권한 놈은 말할 자격이 없네」,발이 문턱 위에서 떨리다 내려온다 — 유백의 셈으로 팔만 번,문턱을 넘어 두 노인 사이에 앉는다 — 넘을 수 있는 것이 저놈뿐이다,곽진강 「뒤에 서신 겁니다」 / 임 노파의 백구십 년 숟가락 빚 / 1호 「나는 갚을 게 하나뿐일세 말하는 것일세 / 내가 말하면 변명이 되네」,156화 느티나무 뒤 / 148화 임 노파의 숟가락
168,3,아직,done,3767,곽진강이 마당 한복판에 서서 내려가겠다고 말한다,13호 「떡을 받으면 짚신을 줘야 합니다 / 저희가 이백 년 동안 떡만 받았습니다」,-,-,마당이 처음으로 갈린다(11·12호 반대) / 유백 「안 묻는 사람한테 말하는 건 허락받는 겁니다」 / 천 노인 「3호는 아직 손님일세 / 자네가 3호를 내려놓는 날」,121화 「아직 다 안 들어왔다」 / 241~270 은자림이 갈라진다
169,3,한 번 더 쓴다,done,3536,잠 못 드는 밤과 담장 밑의 관솔,-,구 노인이 어제 한 획이던 것을 오늘 두 획까지 긋는다 — 백육십 년째 하는 중이다,-,이름은 불러서 끝까지 듣고 나야 내려놓는다 / 「무극권신 곽진강이라고 대게」 / 유백이 스승의 이름을 대신 부르겠다고 한다 / 1호가 13호의 담에 돌을 골라준다,164화 이름·번호·호칭 / 168화 3호를 내려놓는 날
170,3,이백 년 전에 죽은 사람,done,3697,남궁호가 빈손이 아닌 보자기를 들고 올라온다,-,-,남궁호의 손에 콧등을 댄다 — 따르는 사람이 다섯이 된다,문서방 서리가 사라지고 「은자림」 석 자가 남았다 / 10호 「여기 살아본 사람이 아는 겁니다」 / 임 노파가 국자로 아무것도 안 친다 / 1호 「나는 서른둘이라고 알고 있었네 / 이백 년 전에 죽은 사람일세」,165화 명부에 없는 사람 / 161화 서른셋과 서른둘
171,3,그날 밤의 셈,done,3643,접힌 종이 위의 석 자,13호 「저는 못 들은 걸로 하겠습니다 / 다만 제가 알면 안 될 것 같아서요」,-,가시덤불 뒤에 와서 엎드린다,1호가 사흘에 걸쳐 제 손으로 서른둘을 셌다 / 마을은 서른셋이었다 / 열두 해를 찾고 못 찾아 서른셋으로 셌다 / 유백 「쫓기는 사람이 못 버리는 건 손버릇입니다」,166화 갚을 사람이 눈앞에 있던 차이 / 170화 은자림 석 자
172,3,손버릇을 쫓는다,done,3890,마당이 멍석에 일을 나눠 적는다,백 영감이 제 옛 내력을 흘리고 「못 들은 걸로 하게」 / 화척이가 유백의 저고리를 뜯고 나온다,-,고양이만 하게 줄여 유백의 품에 들어간다 — 무게는 그대로다,하촌에 글자가 한 자도 없다 — 지우는 게 아니라 안 생기게 했다 / 9호의 연장 표가 박힌 쇠 조각 / 주막 장부 첫 장의 글씨가 그 글씨다,165화 문서방 서리 / 162화 9호
173,3,장부 첫 장,done,3667,10호가 장부 첫 장을 읽는다,-,-,-,「이 집은 위에서 내려온 나무로 지었다 / 값은 받지 않는다 / 위를 보지 마라」 / 앞장은 펴지 말라는 집안 법 / 열일곱 집이 궤를 열어 탄 나무 조각 열일곱을 꺼낸다 / 아흔둘 노인이 앓는다,144화 선돌 여섯 자 / 155화 대들보 열일곱 채
174,3,한 번도 안 신은 신,done,3739,서문경이 혼자 바위 앞에 서 있다,임 노파 「요새 밖에 차리는 게 늘었다」 / 백 영감 「자리는 하루면 내려놓네 이름은 안 그렇네」,-,유백의 품에서 고개를 든다,서문경이 사직하고 서고 책 셋을 훔쳐 온다 / 유백과 서문경이 마주 선다 / 문서방 책상 밑의 신은 바닥이 안 닳았다,120화 아궁이 재로 덮은 생사 불문 / 165화 명부에 없는 사람
175,3,댓돌 위의 신,done,3583,「한 번도 안 신은 신이었습니다」,13호 「저는 여기 있는데 저 신이 저를 기다리면 이상하지 않습니까」,-,맨발의 무릎에 턱을 대는데 무릎이 한 치 내려간다,상촌의 법 — 안 돌아온 사람의 신을 코를 문 쪽으로 두고 기다린다 / 그 신은 아이 신이다 / 그 집 넷 중 아비가 안 나왔다 / 임 노파도 백구십 년 전에 제 신을 댓돌에 두고 왔다,171화 서른둘과 서른셋 / 211~240 상촌의 진상
176,3,한 번 더 가고 싶다,done,3716,일곱 살 아이가 혼자 산을 올라와 알린다,13호가 상가에서 죽은 이의 짚신을 엮는다 「신이 있어야 가시지요」,-,밥때가 지나도 아이들 곁을 안 뜬다,아흔둘 노인이 간다 / 임 노파가 이백사십 년 닳은 숟가락을 상에 올리고 「팔십 년 만에 위를 본 값이다」 / 상가 구석에 아무도 안 보는 노인이 서 있다,160화 올려다본 사람 / 148화 임 노파의 숟가락
177,3,아무도 안 보는 사람,done,3659,열 걸음 사이를 넷이 지나가는데 넷 다 안 본다,13호가 「처음 뵙습니다」 하고 인사한다 — 이백 년 만이다,사람 사이 빈 데로만 걷는 법을 아무한테도 안 배우고 혼자 익혔다,-,그가 열일곱 집을 지어줬고 이백 년 동안 그 집들 상가에 왔다 / 왼손 엄지와 검지가 불에 없다 / 임 노파를 「모르오」라고 제일 빨리 답한다 / 「나는 그 마을을 태운 사람이오」,173화 장부 첫 장 / 155화 대들보 열일곱 채
178,3,내가 위를 봤소,done,3693,「다시 말씀해주십시오」,-,이백 년 전 중턱에서 발이 안 갔다 — 결계가 그를 돌려세웠다,이백 년 전에 산만 한 것을 봤고 아무한테도 말 안 했다,그날 밤 그는 나무를 보러 위로 올라갔다 / 아이 신은 그날 저녁에 만들어 신기기 전에 나갔다 / 유백 「흐린 걸 읽으면 누구나 그렇게 읽습니다」 / 「내가 위를 봤소 그래서 다들 죽었소」,104·109화 오독 / 120화 서문경의 넉 자
179,3,열 걸음과 이백 년,done,3547,「위로 좀 데려다주시오」,13호 「저 어른은 밥 드실 때도 허리를 안 굽히십니다」 / 백 영감 「저기 이백 년이 셋 서 있네」,이백 년 전에 안 가던 발이 오늘 간다 — 그사이 무엇이 달라졌다,늘 넘을 수 있는 쪽에 앉는다,1호가 이백 년 그를 찾았다 / 「그날 밤 어디 있었느냐」를 묻고 답을 듣고 더 안 묻는다 — 이미 아는 사람의 대답 / 임 노파가 문턱 앞에서 멈추고 자정에 밥을 안친다,171화 서른둘의 셈 / 211~225 1호가 태운 자
180,3,하나만 넘었다,done,3739,새벽에 일곱이 산허리 주춧돌 여섯으로 간다,-,-,흙을 한 자 긁고 1호가 처음으로 「여기는 안 지워도 되네」라 한다,아이 신을 코가 산 아래를 보게 놓고 「이제 가거라」 / 임 노파가 상 셋을 마당 안에 차린다 / 1호가 이백사십 년 만에 문턱을 넘는다 / 천 노인은 못 넘는다,139화 주춧돌 여섯 / 150화 천 노인이 못 들어온 문턱
181,3,뭐라고 부릅니까,done,3581,마당이 열여덟인데 밖에 하나가 있다,아무도 두 사람을 부를 말이 없어 세 걸음 돌아 다닌다 / 13호가 「어르신」이라 불러 멍석이 멎는다 / 백 영감 「법보다 오래 사신 분한테 법을 들이대면 우습네」,-,문턱 한가운데 앉아 안 고른다 — 문턱이 한 치 반 꺼진다,임 노파는 부를 말이 없으면 안 부른다 「밥 먹어라」 / 구 노인이 이불 둘을 꺼내 하나를 밖에 주려 한다 / 1호가 새벽에 물지게를 진다,145화 호칭의 무게 / 150화 천 노인이 못 넘은 문턱
182,3,아는 사람이 안 하면,done,3654,「그건 제 일입니다 / 두 해 동안 자네가 열여섯 몫을 졌네」,11호의 장작이 다 패여 쌓여 있다 「제가 여기 왜 있는지 모르겠습니다」 / 백 영감 「그게 내 자릴세」,이랑이 발자국도 호미 자국도 없이 통째로 갈려 있다,-,이 마당에서 일은 자리다 / 상촌 노인은 뺏지 않고 옆에서 말만 한다 / 1호 「이백사십 년 동안 나한테 말해준 사람이 없었네」 / 「아는 사람이 안 하면 그게 빚일세」,150화 천 노인의 빚 / 128화 「나와서 뭘 했어야 하는데」
183,3,안 나온 사람,done,3629,13호가 천 노인 앉을 자리 한 뼘만 자갈을 고르고 갔다,10호 「이 마당은 담이 낮습니다」 / 11호 「반대라서 갑니다」,-,두 사람 사이에 앉는다,천 노인의 빚은 이백 년 전에 안 나온 것 / 그가 하촌에 내려가겠다 한다 / 마당이 통째로 따라나선다 / 곽진강이 사흘을 얻는다 — 「나흘째 새벽에 나는 내려간다」,128화 9호에게 한 말 / 168화 「3호를 내려놓는 날」
184,3,줄 사람이 없다,done,3832,마당이 멍석에 모여 번호를 정한다,13호 「3호를 내놓으시면 저희가 뭐라고 부릅니까」 / 백 영감 「이레였네 / 내가 누군지 잊을 뻔했네」,-,-,1호는 그 번호를 받은 적이 없다 — 천 노인이 만든 자리다 / 상촌 노인이 번호를 거절한다 「나는 나로 가야 하오」 / 번호는 마당이 주고 마당이 받는다 / 이백사십 년 만에 마당이 스스로 정해야 한다,130화 「번호는 새로 안 만든다」 / 60화 번호 반납제
185,3,자네 자리는,done,3780,아무도 그를 안 부르는 하루,13호가 「국이 짭니다」를 말하러 앞에 와서 선다 — 두 해째 방패로 쓰던 자리,구 노인의 글자가 한 획에서 세 획이 된다 — 닷새가 더 걸린다,문턱 위 한가운데에 그대로 앉아 있다,마등우 「버릇이 되면 뜻이 없어도 남습니다」 / 스승님은 번호가 아니라 주고받은 호칭이다 / 1호 「자네 자리는」 → 천 노인 「없네」 / 「나는 남의 자리에 앉아 있었다」,7화 천 노인이 3호를 준 날 / 211~240 천 노인이 2호였다
186,3,안 묻는 법,done,3911,할 말을 넷까지 적고 다섯째 줄에서 막힌다,-,-,셋을 차례로 보고 나서 곽진강을 본다 — 한 사람을 가리킨 것이 아니었다,농노 열둘은 아무도 모른다 / 임 노파·백 영감·상촌 노인은 「안 말한다」 / 상촌 노인은 제가 놓았다고 정해놓고 이백 년 안 찾았다 / 천 노인 「내가 내려가면 그 답도 같이 내려간다」,7화 「밖에서 뭐 했는지는 안 묻는다」 / 146화 「모르는 놈은 되묻네」
187,3,마당이 비었다,done,3730,나흘째 새벽에 방마다 불이 켜진다,13호 「그럼 이제 그릇은 어떤 걸 쓰십니까」 / 임 노파 「모르는 놈이 쓴다」,구 노인의 획이 넷이 되고 오늘은 안 지운다 — 돌아올 셈을 하는 손,「오늘은 자국을 남겨라」 — 두 해 지우던 것을 남기며 내려간다,곽진강이 3호 그릇을 내려놓고 마당이 받는다 / 1호가 1호 자리 대신 3호를 받는다 — 법에 있는 자리 / 임 노파가 백구십 년 만에 앞치마를 벗는다 / 은자림이 이백사십 년 만에 빈다,145화 「다음 놈이 오는 날일세」 / 168화 3호를 내려놓는 날
188,3,열여덟이 내려왔다,done,3645,자국을 남기며 비탈을 내려간다,13호 「저는 오늘 아무것도 안 먹겠습니다」 / 아이들이 화척이를 들어보려다 주저앉는다,천 노인이 이백 년 전 발이 안 갔다던 자리를 넘어간다,자국을 남기며 앞장서 내려간다,일곱 살이 하루 만에 이백 년 금기를 깬다 / 임 노파 「듣는 사람이 앉고 말하는 사람이 서는 법이오」 / 상촌 노인이 담 밑 대신 뒷줄에 선다 / 서문경 「오늘 나온 말은 사흘이면 강호에 퍼집니다」,144화 위를 안 보는 마을 / 176화 아흔둘의 상가
189,3,내가 썼소,done,3634,넷째 줄까지 읽는데 마을이 아무도 안 놀란다,-,-,-,마을은 태운 사람보다 안 온 사람을 먼저 묻는다 / 주막 노인이 장부 세 줄을 묻는다 / 상촌 노인이 이백 년 만에 삼백 앞에 선다 — 「내가 썼소」,173화 장부 첫 장 / 177화 아무도 안 보는 사람
190,3,위를 봐도 되겠소,done,3722,주막 노인이 여덟 손가락을 두 손으로 잡는다,13호가 이백 년 이야기 사이에 짚신 한 켤레를 넣어 마을을 웃긴다,-,-,임 노파가 상촌 아랫집 사람이었다 / 곽진강이 「모릅니다」를 말하고 「알아내서 다시 오겠습니다」 / 촌장 「우리가 위를 봐도 되겠소」 / 천 노인 「나는 그 대답을 이백 년 갖고 있었소」,148·175화 임 노파의 숟가락과 댓돌 / 186화 비어 있는 다섯째 줄
191,3,삼백이 고개를 들었다,done,3526,천 노인이 「봐도 되오」 넉 자를 내놓는다,13호 「오늘은 안 되겠습니다」 / 떡 아낙 「다음에 지붕 하나 이어주고 드십시오」,-,-,이백 년 전에 상촌이 위를 봤고 없어졌다 / 일곱 살이 먼저 고개를 들고 삼백이 따라 든다 / 임 노파 「금기는 누가 시켜서 생긴다」 / 서문경 「내 넉 자보다 무겁습니다」,144화 위를 보지 마라 / 190화 촌장의 물음
192,3,밥 다 됐습니다,done,3955,문턱 위에서 짚신이 멈춘다,13호가 저도 모르고 「밥 다 됐습니다」를 던져 이백사십 년을 옮긴다,화척이가 열이틀 만에 문턱에서 내려온다 — 문턱이 한 치 반 꺼진 채 안 고친다,안 고르던 자리에서 내려와 안쪽에 앉는다,천 노인이 평상을 버리고 멍석 끝에 앉는다 / 마당에 번호 없는 사람이 셋이 된다 / 구 노인의 다섯째 획 / 「내가 아는 것을 말하겠다」,181화 문턱 위의 화척이 / 186화 비어 있는 다섯째 줄
193,3,이튿날 산허리가 탔다,done,3843,관솔을 다시 켜고 멍석에 열여덟이 둘러앉는다,-,-,멍석 가장자리에 엎드려 끝까지 듣는다,천 노인과 1호가 이백사십 년 전에 같이 들어오기로 했다 / 1호가 스물두 번 중턱까지 왔다 갔다 / 이백 년 전 그 밤에 처음 문 앞에 왔고 아무 말도 안 했다 / 「이튿날 산허리가 탔다」,7·35·59화 1호 복선 / 211~225 반전 1단
194,3,아무도 안 묻는다,done,3745,마당이 아무 일 없다는 듯 돌아간다,13호 「부를 수 있는 분이 열둘입니다」 / 곽진강의 자리가 없어져 물지게를 뺏긴다,-,열이틀 만에 압축을 풀고 원래 크기로 쉰다,10호 「안 적어도 되는 걸 아는 겁니다」 / 백 영감 「자리는 뺏기네 버릇은 안 뺏기네」 / 1호가 며칠을 달라고 한다 / 구 노인의 글자가 두 자다,164화 이름·번호·호칭 / 186화 안 묻는 법
195,3,아이만 넘었다,done,3665,하촌 스물이 문턱 앞에 선다,13호가 자갈밭 침묵에 웃음을 터뜨린다 / 아이 「쉬운데요」,문턱이 여덟 치 반인데 어른 스물이 못 넘는다,아이가 겁 없이 앞에 쪼그려 앉는다,열일곱 채 대들보가 하촌의 빚이다 / 「값은 받지 않는다」고 쓴 사람에게 진 빚이 아니다 / 임 노파가 처음으로 남의 이름을 묻고 외운다,173화 장부 첫 장 / 111·121화 결계 규칙
196,3,이름을 부르면 안 돼요,done,3535,「그건 나한테 진 빚이 아니오」,백 영감 「자고 나면 또 자게 되네」,-,-,하촌이 집을 헐겠다 하고 상촌 노인이 막는다 — 무르는 건 갚는 게 아니다 / 유백이 겨울 셈을 한다 / 천 노인 「이백 년짜리는 이백 년 갈 것으로 정해야 하오」 / 일곱 살 「그럼 우리가 이름을 부르면 안 돼요」,164화 안 부르면 없어진다 / 195화 대들보 빚
197,3,서른한 번째,done,3800,예순이 넘게 올라와 자갈밭이 찬다,13호가 「이건 쉬운 셈입니다」 하고 처음으로 셈을 해낸다,-,바위 위에 엎드려 끝까지 듣는다,하촌 서른둘이 이름을 하나씩 맡는다 / 빚 없는 집이 먼저 나선다 / 임 노파가 열넷째·열다섯째를 알아본다 / 마지막 하나 앞에서 상촌 노인이 멈춘다,162화 위패 서른둘 / 176화 일곱 살
198,3,서른두 번째,done,3864,「몇 살이냐」 「일곱이요」,백 영감이 팔십팔 년 만에 밖에서 호칭으로 불린다,상촌 노인이 처음으로 자갈에 자국을 남긴다 — 무게를 안 싣는 법을 배운 적이 없다,-,이백 년 못 부른 이름을 아이가 대신 크게 부른다 / 아이가 이름 둘을 갖는다 / 1호 「오늘부터 세지 않고 부르겠소」 / 촌장이 문턱을 넘는다,175화 아이 신 / 197화 서른한 번째
199,3,마당이 좁다,done,3878,촌장이 제 발을 내려다본다,임 노파 「쌀이 모자란다 / 오늘은 각자 집에 가서 먹어라」 / 마등우 「백십이 년이 아깝습니다」,이름을 맡은 서른둘만 문턱을 넘는다 — 나누면 넘는 사람이 는다,아이 열둘을 앞발 사이에 두고 꼬리를 천천히 움직인다,빚은 나누면 줄지만 이름은 나누면 커진다 / 마당이 일흔여덟이 된다 / 천 노인 「조용한 건 사람이 없는 것이었다」 / 무림맹 서찰 — 열흘 뒤 도착,111·121화 결계 규칙 / 188화 서문경의 경고
200,3,열흘,done,3804,세 줄짜리 서찰,13호 「스물이 삼백을 어찌합니까」 / 백 영감 「나는 팔십팔 년 동안 스물이 크다고 알고 살았네」,-,아이들 사이에서 고개를 든다,분타 인장이라 문서가 안 남는다 / 11호 「따라간 건 제가 한 겁니다」 / 천 노인 「숨을 몸이 너무 많다」 / 1호 「이제 묻게 / 하촌도 부르게」,186화 비어 있는 다섯째 줄 / 211~225 반전 1단
201,3,몇 그릇 짓냐,done,3565,하촌 예순이 안 내려가고 마당에 멍석 셋이 깔린다,11호 「그건 반대를 못 하겠습니다」 / 13호가 담 쌓던 이야기로 셋째 길을 낸다,-,-,숨자 대 싸우자로 갈린다 / 표일도가 개울 바닥의 검을 사흘 다 안 찾았다 / 서문경 「심심한 걸 보면 안 옵니다」 / 임 노파 「열흘 뒤에 밥을 몇 그릇 짓냐」,120화 서문경 / 241~270 은자림이 갈라진다
202,3,저놈은 어찌합니까,done,3851,10호가 넉 줄을 적고 그 밑에 심심하지 않은 것 셋을 적는다,헛간 문 한 칸에 머리가 두 칸 / 백 영감의 「이틀 동안 밭이 논이 됐네」,-,사흘째 압축을 못 한다 — 힘이 빠졌다,용·마신·무극권신 셋은 숨길 수 없다 / 촌장이 곽진강의 정체를 묻고 열흘 뒤로 미룬다 / 유백 「저는 아직 마신입니다」,83화 압축형 규칙 / 169화 이름을 한 번 더 쓴다
